bp,m_chi_GeV,m_phi_MeV,alpha,lambda,kappa,v_km_s,sigma_maj,sigma_dir,R,n_resonances,res_even,res_odd,dominant_l,n_partialwaves
MAP,98.19,9.66,0.003274,33.27888819875776,7.701284969460264,454.28014820803486,0.4127513319204648,0.2073935444891769,1.990184086670088,1,1,0,5,61
MAP,98.19,9.66,0.003274,33.27888819875776,8.78079169473263,517.957635418675,0.36347972521575694,0.1824935254091797,1.9917403886016076,1,1,0,5,61
MAP,98.19,9.66,0.003274,33.27888819875776,10.011615346275018,590.560941627693,0.31765222582895786,0.159349615872916,1.9934295046075974,1,1,0,6,61
MAP,98.19,9.66,0.003274,33.27888819875776,11.41496636367041,673.341219295428,0.275317833806221,0.13798366601132356,1.995292934046463,1,1,0,6,61
MAP,98.19,9.66,0.003274,33.27888819875776,13.015028302321623,767.7249977836887,0.2364885944781716,0.11841057177825663,1.9971915592218876,2,1,1,6,61
MAP,98.19,9.66,0.003274,33.27888819875776,14.839374581894617,875.3387663370785,0.20117203236588688,0.10063860128576198,1.9989549715090094,2,1,1,6,61
MAP,98.19,9.66,0.003274,33.27888819875776,16.919443651344167,998.0370029170341,0.16937284514158907,0.08467175067903653,2.0003465593102856,2,1,1,6,61
MAP,98.19,9.66,0.003274,33.27888819875776,19.29108075890765,1137.934131901617,0.14108260009622736,0.0705006340871103,2.001153633907835,2,1,1,7,61
MAP,98.19,9.66,0.003274,33.27888819875776,21.995155663237863,1297.440961369174,0.11623842563430606,0.058075150341066764,2.0015174296003537,2,1,1,7,61
MAP,98.19,9.66,0.003274,33.27888819875776,25.078266930517962,1479.306227879371,0.09479118801905119,0.0473604272804683,2.0014850680653296,2,1,1,7,61
MAP,98.19,9.66,0.003274,33.27888819875776,28.593544954513355,1686.6639646811807,0.07651618948286626,0.038228534141122886,2.0015465202092826,2,1,1,7,61
MAP,98.19,9.66,0.003274,33.27888819875776,32.601567537780795,1923.0875096309128,0.06119503442976005,0.03057868854887564,2.001231489439077,1,0,1,8,61
MAP,98.19,9.66,0.003274,33.27888819875776,37.17140381198922,2192.6510835236145,0.04853367157218613,0.02426359873426039,2.000266823719608,1,0,1,8,61
MAP,98.19,9.66,0.003274,33.27888819875776,42.38180448693911,2499.9999999999995,0.038221122894712994,0.01910458328020749,2.000625835911867,1,1,0,9,61
